f0,adult,group,gender,speaker
270,child,g,female,34
301,child,g,female,35
226,child,g,female,36
232,child,g,female,37
241,child,g,female,38
234,child,g,female,39
214,child,g,female,40
239,child,g,female,41
233,child,g,female,42
215,child,g,female,43
221,child,g,female,44
246,child,g,female,45
218,child,g,female,46
218,adult,w,female,92
211,adult,w,female,93
186,adult,w,female,94
203,adult,w,female,95
231,adult,w,female,96
212,adult,w,female,97
167,adult,w,female,98
242,adult,w,female,99
241,adult,w,female,100
225,adult,w,female,101
197,adult,w,female,102
227,adult,w,female,103
234,adult,w,female,104
223,adult,w,female,105
229,adult,w,female,106
201,adult,w,female,107
211,adult,w,female,108
241,adult,w,female,109
185,adult,w,female,110
226,adult,w,female,111
191,adult,w,female,112
209,adult,w,female,113
247,adult,w,female,114
205,adult,w,female,115
180,adult,w,female,116
244,adult,w,female,117
217,adult,w,female,118
212,adult,w,female,119
233,adult,w,female,120
194,adult,w,female,121
226,adult,w,female,122
241,adult,w,female,123
210,adult,w,female,124
207,adult,w,female,125
213,adult,w,female,126
196,adult,w,female,127
219,adult,w,female,128
211,adult,w,female,129
200,adult,w,female,130
198,adult,w,female,131
237,adult,w,female,132
222,adult,w,female,133
196,adult,w,female,134
162,adult,w,female,135
206,adult,w,female,136
221,adult,w,female,137
219,adult,w,female,138
246,adult,w,female,139
227,child,g,female,28
188,child,g,female,29
245,child,g,female,30
226,child,g,female,31
222,child,g,female,32
230,child,g,female,33
244,child,g,female,34
238,child,g,female,35
227,child,g,female,36
226,child,g,female,37
236,child,g,female,38
263,child,g,female,39
211,child,g,female,40
226,child,g,female,41
249,child,g,female,42
205,child,g,female,43
229,child,g,female,44
228,child,g,female,45
230,child,g,female,46
228,adult,w,female,92
197,adult,w,female,93
218,adult,w,female,94
216,adult,w,female,95
233,adult,w,female,96
211,adult,w,female,97
198,adult,w,female,98
244,adult,w,female,99
246,adult,w,female,100
227,adult,w,female,101
195,adult,w,female,102
210,adult,w,female,103
214,adult,w,female,104
226,adult,w,female,105
222,adult,w,female,106
197,adult,w,female,107
216,adult,w,female,108
238,adult,w,female,109
173,adult,w,female,110
233,adult,w,female,111
180,adult,w,female,112
210,adult,w,female,113
251,adult,w,female,114
211,adult,w,female,115
195,adult,w,female,116
244,adult,w,female,117
223,adult,w,female,118
203,adult,w,female,119
244,adult,w,female,120
214,adult,w,female,121
189,adult,w,female,122
236,adult,w,female,123
214,adult,w,female,124
202,adult,w,female,125
205,adult,w,female,126
191,adult,w,female,127
210,adult,w,female,128
193,adult,w,female,129
185,adult,w,female,130
217,adult,w,female,131
209,adult,w,female,132
221,adult,w,female,133
198,adult,w,female,134
168,adult,w,female,135
217,adult,w,female,136
213,adult,w,female,137
222,adult,w,female,138
219,adult,w,female,139
243,child,g,female,28
211,child,g,female,29
266,child,g,female,30
220,child,g,female,31
225,child,g,female,32
242,child,g,female,33
257,child,g,female,34
258,child,g,female,35
236,child,g,female,36
240,child,g,female,37
262,child,g,female,38
258,child,g,female,39
222,child,g,female,40
237,child,g,female,41
258,child,g,female,42
209,child,g,female,43
234,child,g,female,44
249,child,g,female,45
235,child,g,female,46
227,adult,w,female,92
220,adult,w,female,93
208,adult,w,female,94
226,adult,w,female,95
241,adult,w,female,96
214,adult,w,female,97
186,adult,w,female,98
238,adult,w,female,99
265,adult,w,female,100
220,adult,w,female,101
214,adult,w,female,102
238,adult,w,female,103
236,adult,w,female,104
206,adult,w,female,105
244,adult,w,female,106
207,adult,w,female,107
210,adult,w,female,108
244,adult,w,female,109
203,adult,w,female,110
238,adult,w,female,111
166,adult,w,female,112
211,adult,w,female,113
263,adult,w,female,114
212,adult,w,female,115
171,adult,w,female,116
243,adult,w,female,117
234,adult,w,female,118
246,adult,w,female,119
245,adult,w,female,120
212,adult,w,female,121
215,adult,w,female,122
247,adult,w,female,123
211,adult,w,female,124
215,adult,w,female,125
211,adult,w,female,126
193,adult,w,female,127
224,adult,w,female,128
198,adult,w,female,129
202,adult,w,female,130
214,adult,w,female,131
232,adult,w,female,132
217,adult,w,female,133
205,adult,w,female,134
160,adult,w,female,135
218,adult,w,female,136
224,adult,w,female,137
214,adult,w,female,138
252,adult,w,female,139
228,child,g,female,28
223,child,g,female,29
285,child,g,female,30
223,child,g,female,31
224,child,g,female,32
237,child,g,female,33
260,child,g,female,34
286,child,g,female,35
212,child,g,female,36
233,child,g,female,37
253,child,g,female,38
273,child,g,female,39
215,child,g,female,40
248,child,g,female,41
225,child,g,female,42
219,child,g,female,43
236,child,g,female,44
230,child,g,female,45
225,child,g,female,46
224,adult,w,female,92
218,adult,w,female,93
182,adult,w,female,94
216,adult,w,female,95
242,adult,w,female,96
225,adult,w,female,97
174,adult,w,female,98
250,adult,w,female,99
248,adult,w,female,100
230,adult,w,female,101
195,adult,w,female,102
219,adult,w,female,103
244,adult,w,female,104
225,adult,w,female,105
234,adult,w,female,106
219,adult,w,female,107
212,adult,w,female,108
246,adult,w,female,109
175,adult,w,female,110
224,adult,w,female,111
173,adult,w,female,112
212,adult,w,female,113
262,adult,w,female,114
215,adult,w,female,115
184,adult,w,female,116
257,adult,w,female,117
238,adult,w,female,118
264,adult,w,female,119
246,adult,w,female,120
184,adult,w,female,121
212,adult,w,female,122
252,adult,w,female,123
214,adult,w,female,124
218,adult,w,female,125
206,adult,w,female,126
198,adult,w,female,127
230,adult,w,female,128
189,adult,w,female,129
207,adult,w,female,130
208,adult,w,female,131
240,adult,w,female,132
237,adult,w,female,133
204,adult,w,female,134
166,adult,w,female,135
211,adult,w,female,136
231,adult,w,female,137
176,adult,w,female,138
224,adult,w,female,139
240,child,g,female,28
258,child,g,female,29
271,child,g,female,30
219,child,g,female,31
236,child,g,female,32
252,child,g,female,33
261,child,g,female,34
264,child,g,female,35
257,child,g,female,36
226,child,g,female,37
242,child,g,female,38
257,child,g,female,39
216,child,g,female,40
244,child,g,female,41
243,child,g,female,42
212,child,g,female,43
236,child,g,female,44
234,child,g,female,45
226,child,g,female,46
246,adult,w,female,92
219,adult,w,female,93
188,adult,w,female,94
224,adult,w,female,95
238,adult,w,female,96
216,adult,w,female,97
192,adult,w,female,98
247,adult,w,female,99
253,adult,w,female,100
227,adult,w,female,101
207,adult,w,female,102
237,adult,w,female,103
233,adult,w,female,104
221,adult,w,female,105
234,adult,w,female,106
214,adult,w,female,107
221,adult,w,female,108
252,adult,w,female,109
213,adult,w,female,110
233,adult,w,female,111
187,adult,w,female,112
218,adult,w,female,113
256,adult,w,female,114
222,adult,w,female,115
223,adult,w,female,116
251,adult,w,female,117
238,adult,w,female,118
260,adult,w,female,119
250,adult,w,female,120
206,adult,w,female,121
215,adult,w,female,122
252,adult,w,female,123
231,adult,w,female,124
218,adult,w,female,125
225,adult,w,female,126
201,adult,w,female,127
231,adult,w,female,128
216,adult,w,female,129
205,adult,w,female,130
219,adult,w,female,131
236,adult,w,female,132
225,adult,w,female,133
213,adult,w,female,134
149,adult,w,female,135
221,adult,w,female,136
238,adult,w,female,137
225,adult,w,female,138
239,adult,w,female,139
222,child,g,female,28
246,child,g,female,29
294,child,g,female,30
239,child,g,female,31
250,child,g,female,32
250,child,g,female,33
263,child,g,female,34
294,child,g,female,35
222,child,g,female,36
238,child,g,female,37
212,child,g,female,38
278,child,g,female,39
220,child,g,female,40
251,child,g,female,41
273,child,g,female,42
222,child,g,female,43
237,child,g,female,44
232,child,g,female,45
238,child,g,female,46
234,adult,w,female,92
222,adult,w,female,93
192,adult,w,female,94
215,adult,w,female,95
249,adult,w,female,96
221,adult,w,female,97
200,adult,w,female,98
264,adult,w,female,99
266,adult,w,female,100
239,adult,w,female,101
203,adult,w,female,102
223,adult,w,female,103
229,adult,w,female,104
225,adult,w,female,105
259,adult,w,female,106
227,adult,w,female,107
210,adult,w,female,108
247,adult,w,female,109
195,adult,w,female,110
223,adult,w,female,111
214,adult,w,female,112
219,adult,w,female,113
272,adult,w,female,114
237,adult,w,female,115
177,adult,w,female,116
252,adult,w,female,117
246,adult,w,female,118
275,adult,w,female,119
233,adult,w,female,120
237,adult,w,female,121
216,adult,w,female,122
268,adult,w,female,123
220,adult,w,female,124
215,adult,w,female,125
220,adult,w,female,126
201,adult,w,female,127
223,adult,w,female,128
210,adult,w,female,129
198,adult,w,female,130
229,adult,w,female,131
250,adult,w,female,132
226,adult,w,female,133
217,adult,w,female,134
155,adult,w,female,135
230,adult,w,female,136
255,adult,w,female,137
243,adult,w,female,138
231,adult,w,female,139
251,child,g,female,28
230,child,g,female,29
282,child,g,female,30
239,child,g,female,31
226,child,g,female,32
241,child,g,female,33
259,child,g,female,34
275,child,g,female,35
238,child,g,female,36
232,child,g,female,37
225,child,g,female,38
251,child,g,female,39
240,child,g,female,40
243,child,g,female,41
267,child,g,female,42
221,child,g,female,43
234,child,g,female,44
213,child,g,female,45
222,child,g,female,46
234,adult,w,female,92
212,adult,w,female,93
176,adult,w,female,94
225,adult,w,female,95
224,adult,w,female,96
203,adult,w,female,97
196,adult,w,female,98
253,adult,w,female,99
252,adult,w,female,100
219,adult,w,female,101
196,adult,w,female,102
233,adult,w,female,103
236,adult,w,female,104
216,adult,w,female,105
226,adult,w,female,106
209,adult,w,female,107
206,adult,w,female,108
241,adult,w,female,109
174,adult,w,female,110
234,adult,w,female,111
181,adult,w,female,112
201,adult,w,female,113
242,adult,w,female,114
213,adult,w,female,115
167,adult,w,female,116
243,adult,w,female,117
240,adult,w,female,118
274,adult,w,female,119
230,adult,w,female,120
203,adult,w,female,121
217,adult,w,female,122
247,adult,w,female,123
219,adult,w,female,124
210,adult,w,female,125
217,adult,w,female,126
195,adult,w,female,127
221,adult,w,female,128
204,adult,w,female,129
207,adult,w,female,130
226,adult,w,female,131
219,adult,w,female,132
212,adult,w,female,133
206,adult,w,female,134
183,adult,w,female,135
224,adult,w,female,136
237,adult,w,female,137
206,adult,w,female,138
239,adult,w,female,139
243,child,g,female,28
228,child,g,female,29
271,child,g,female,30
225,child,g,female,31
254,child,g,female,32
249,child,g,female,33
271,child,g,female,34
294,child,g,female,35
229,child,g,female,36
219,child,g,female,37
259,child,g,female,38
279,child,g,female,39
245,child,g,female,40
233,child,g,female,41
236,child,g,female,42
217,child,g,female,43
237,child,g,female,44
239,child,g,female,45
243,child,g,female,46
228,adult,w,female,92
225,adult,w,female,93
215,adult,w,female,94
222,adult,w,female,95
244,adult,w,female,96
207,adult,w,female,97
182,adult,w,female,98
254,adult,w,female,99
247,adult,w,female,100
231,adult,w,female,101
200,adult,w,female,102
225,adult,w,female,103
240,adult,w,female,104
224,adult,w,female,105
248,adult,w,female,106
219,adult,w,female,107
232,adult,w,female,108
249,adult,w,female,109
233,adult,w,female,110
242,adult,w,female,111
203,adult,w,female,112
231,adult,w,female,113
262,adult,w,female,114
228,adult,w,female,115
195,adult,w,female,116
262,adult,w,female,117
242,adult,w,female,118
285,adult,w,female,119
254,adult,w,female,120
228,adult,w,female,121
205,adult,w,female,122
244,adult,w,female,123
232,adult,w,female,124
236,adult,w,female,125
214,adult,w,female,126
228,adult,w,female,127
258,adult,w,female,128
187,adult,w,female,129
205,adult,w,female,130
226,adult,w,female,131
240,adult,w,female,132
224,adult,w,female,133
224,adult,w,female,134
177,adult,w,female,135
237,adult,w,female,136
255,adult,w,female,137
256,adult,w,female,138
236,adult,w,female,139
247,child,g,female,28
220,child,g,female,29
268,child,g,female,30
225,child,g,female,31
238,child,g,female,32
234,child,g,female,33
242,child,g,female,34
262,child,g,female,35
229,child,g,female,36
226,child,g,female,37
248,child,g,female,38
229,child,g,female,39
208,child,g,female,40
247,child,g,female,41
256,child,g,female,42
207,child,g,female,43
227,child,g,female,44
248,child,g,female,45
229,child,g,female,46
222,adult,w,female,92
226,adult,w,female,93
182,adult,w,female,94
216,adult,w,female,95
224,adult,w,female,96
226,adult,w,female,97
189,adult,w,female,98
243,adult,w,female,99
236,adult,w,female,100
217,adult,w,female,101
205,adult,w,female,102
241,adult,w,female,103
235,adult,w,female,104
220,adult,w,female,105
226,adult,w,female,106
198,adult,w,female,107
212,adult,w,female,108
235,adult,w,female,109
216,adult,w,female,110
221,adult,w,female,111
188,adult,w,female,112
211,adult,w,female,113
239,adult,w,female,114
217,adult,w,female,115
195,adult,w,female,116
244,adult,w,female,117
231,adult,w,female,118
307,adult,w,female,119
235,adult,w,female,120
216,adult,w,female,121
209,adult,w,female,122
244,adult,w,female,123
222,adult,w,female,124
207,adult,w,female,125
206,adult,w,female,126
206,adult,w,female,127
228,adult,w,female,128
198,adult,w,female,129
194,adult,w,female,130
215,adult,w,female,131
236,adult,w,female,132
214,adult,w,female,133
199,adult,w,female,134
155,adult,w,female,135
213,adult,w,female,136
236,adult,w,female,137
220,adult,w,female,138
213,adult,w,female,139
251,child,g,female,28
188,child,g,female,29
288,child,g,female,30
219,child,g,female,31
256,child,g,female,32
255,child,g,female,33
271,child,g,female,34
303,child,g,female,35
216,child,g,female,36
238,child,g,female,37
276,child,g,female,38
273,child,g,female,39
239,child,g,female,40
244,child,g,female,41
236,child,g,female,42
214,child,g,female,43
243,child,g,female,44
248,child,g,female,45
225,child,g,female,46
260,adult,w,female,92
218,adult,w,female,93
211,adult,w,female,94
216,adult,w,female,95
223,adult,w,female,96
219,adult,w,female,97
211,adult,w,female,98
258,adult,w,female,99
265,adult,w,female,100
238,adult,w,female,101
232,adult,w,female,102
242,adult,w,female,103
231,adult,w,female,104
239,adult,w,female,105
262,adult,w,female,106
225,adult,w,female,107
216,adult,w,female,108
257,adult,w,female,109
171,adult,w,female,110
247,adult,w,female,111
199,adult,w,female,112
210,adult,w,female,113
268,adult,w,female,114
226,adult,w,female,115
230,adult,w,female,116
256,adult,w,female,117
261,adult,w,female,118
297,adult,w,female,119
268,adult,w,female,120
237,adult,w,female,121
238,adult,w,female,122
272,adult,w,female,123
242,adult,w,female,124
232,adult,w,female,125
219,adult,w,female,126
220,adult,w,female,127
260,adult,w,female,128
215,adult,w,female,129
223,adult,w,female,130
237,adult,w,female,131
255,adult,w,female,132
254,adult,w,female,133
204,adult,w,female,134
166,adult,w,female,135
238,adult,w,female,136
234,adult,w,female,137
240,adult,w,female,138
265,adult,w,female,139
